,Unnamed: 0,h,V,C,x,y,Y
709,709,10PB,3,24,0.197,0.042,3.18
710,710,2.5P,3,0,0.31,0.316,6.55
711,711,2.5P,3,2,0.296,0.277,5.7
712,712,2.5P,3,4,0.285,0.246,5.12
713,713,2.5P,3,6,0.276,0.218,4.75
714,714,2.5P,3,8,0.268,0.195,4.43
715,715,2.5P,3,10,0.262,0.176,4.23
716,716,2.5P,3,12,0.256,0.156,4.04
717,717,2.5P,3,14,0.251,0.137,3.88
718,718,2.5P,3,16,0.246,0.117,3.7
719,719,2.5P,3,18,0.241,0.098,3.56
720,720,2.5P,3,20,0.237,0.079,3.42
721,721,2.5P,3,22,0.233,0.06,3.3
722,722,5P,3,2,0.3,0.277,5.7
723,723,5P,3,4,0.293,0.245,5.12
724,724,5P,3,6,0.287,0.218,4.71
725,725,5P,3,8,0.282,0.195,4.43
726,726,5P,3,10,0.278,0.176,4.23
727,727,5P,3,12,0.274,0.155,4.02
728,728,5P,3,14,0.27,0.136,3.85
729,729,5P,3,16,0.267,0.112,3.68
730,730,5P,3,18,0.263,0.098,3.55
731,731,5P,3,20,0.26,0.079,3.4
732,732,5P,3,22,0.256,0.06,3.26
733,733,7.5P,3,2,0.307,0.277,5.7
734,734,7.5P,3,4,0.304,0.245,5.12
735,735,7.5P,3,6,0.301,0.219,4.71
736,736,7.5P,3,8,0.298,0.195,4.4
737,737,7.5P,3,10,0.296,0.176,4.2
738,738,7.5P,3,12,0.294,0.156,4.0
739,739,7.5P,3,14,0.291,0.136,3.81
740,740,7.5P,3,16,0.289,0.117,3.64
741,741,7.5P,3,18,0.286,0.1,3.51
742,742,7.5P,3,20,0.283,0.08,3.36
743,743,7.5P,3,22,0.28,0.06,3.23
744,744,10P,3,2,0.312,0.278,5.7
745,745,10P,3,4,0.313,0.246,5.12
746,746,10P,3,6,0.314,0.22,4.68
747,747,10P,3,8,0.315,0.197,4.37
748,748,10P,3,10,0.315,0.178,4.18
749,749,10P,3,12,0.315,0.157,3.95
750,750,10P,3,14,0.315,0.139,3.77
751,751,10P,3,16,0.315,0.119,3.6
752,752,10P,3,18,0.315,0.102,3.45
753,753,10P,3,20,0.314,0.082,3.31
754,754,2.5RP,3,0,0.31,0.316,6.55
755,755,2.5RP,3,2,0.318,0.28,5.7
756,756,2.5RP,3,4,0.326,0.25,5.08
757,757,2.5RP,3,6,0.331,0.225,4.68
758,758,2.5RP,3,8,0.336,0.202,4.37
759,759,2.5RP,3,10,0.339,0.188,4.12
760,760,2.5RP,3,12,0.343,0.162,3.9
